CPT,ASA,ASA_COUNT,ASA_FREQ
17266,00400,0,0.0
17270,00300,0,0.0
17270,00400,0,0.0
17270,00920,0,0.0
17270,00940,0,0.0
17271,00300,0,0.0
17271,00400,0,0.0
17271,00920,0,0.0
17271,00940,0,0.0
17272,00300,0,0.0
17272,00400,0,0.0
17272,00920,0,0.0
17272,00940,0,0.0
17273,00300,0,0.0
17273,00400,0,0.0
17273,00920,0,0.0
17273,00940,0,0.0
17274,00300,0,0.0
17274,00400,0,0.0
17274,00920,0,0.0
17274,00940,0,0.0
17276,00300,0,0.0
17276,00400,0,0.0
17276,00920,0,0.0
17276,00940,0,0.0
17280,00300,0,0.0
17281,00300,0,0.0
17282,00300,0,0.0
17283,00300,0,0.0
17284,00300,0,0.0
17286,00300,0,0.0
17311,00300,0,0.0
17311,00400,0,0.0
17311,00920,0,0.0
17311,00940,0,0.0
17313,00300,0,0.0
17313,00400,0,0.0
17999,00400,1,1.0
19000,00400,3,1.0
19020,00400,95,1.0
19081,00400,3,1.0
19083,00400,13,1.0
19085,00400,0,0.0
19100,00400,5,1.0
19101,00400,202,1.0
19105,00400,0,0.0
19110,00400,16,1.0
19112,00400,1,1.0
19120,00400,385,1.0
19125,00400,330,1.0
19281,00400,1,1.0
19283,00400,0,0.0
19285,00400,0,0.0
19287,00400,0,0.0
19296,00400,0,0.0
19298,00400,0,0.0
19300,00400,11,1.0
19301,00400,620,1.0
19302,01610,228,1.0
19303,00400,100,1.0
19305,00404,2,1.0
19306,00406,0,0.0
19307,00404,127,1.0
19316,00402,61,1.0
19318,00402,251,1.0
19324,00402,15,1.0
19325,00402,114,1.0
19328,00400,26,1.0
19330,00400,9,1.0
19340,00402,38,1.0
19342,00402,99,1.0
19350,00402,19,1.0
19355,00402,0,0.0
19357,00402,136,1.0
19361,00402,9,1.0
19364,00402,10,1.0
19366,00402,13,1.0
19367,00402,1,1.0
19368,00402,0,0.0
19369,00402,0,0.0
19370,00402,10,1.0
19371,00402,84,1.0
19380,00402,128,1.0
19499,00400,1,1.0
20100,00300,5,1.0
20101,00400,0,0.0
20102,00800,1,1.0
20102,00300,0,0.0
20102,00700,0,0.0
20102,00730,0,0.0
20102,00820,0,0.0
20103,00400,19,1.0
20150,01480,1,1.0
20150,01210,0,0.0
20150,01230,0,0.0
20150,01360,0,0.0
20150,01400,0,0.0
20150,01630,0,0.0
20150,01740,0,0.0
20150,01830,0,0.0
20200,01250,2,0.5
20200,01610,1,0.25
20200,01710,1,0.25
20200,00300,0,0.0
20200,01320,0,0.0
20200,01470,0,0.0
20200,01810,0,0.0
20205,01250,28,0.7777777777777778
20205,01710,3,0.08333333333333333
20205,01470,2,0.05555555555555555
20205,01610,2,0.05555555555555555
20205,00300,1,0.02777777777777778
20205,01320,0,0.0
20205,01810,0,0.0
20206,01250,1,1.0
20206,00300,0,0.0
20206,00920,0,0.0
20206,00940,0,0.0
20206,01320,0,0.0
20206,01470,0,0.0
20206,01610,0,0.0
20206,01710,0,0.0
20206,01810,0,0.0
20220,01462,4,0.6666666666666666
20220,00640,1,0.1666666666666667
20220,01390,1,0.1666666666666667
20220,00190,0,0.0
20220,00454,0,0.0
20220,01120,0,0.0
20220,01220,0,0.0
20220,01340,0,0.0
20220,01620,0,0.0
20220,01730,0,0.0
20220,01820,0,0.0
20225,00640,9,1.0
20225,01220,0,0.0
20225,01340,0,0.0
20240,01480,23,0.9583333333333334
20240,00470,1,0.04166666666666666
20240,01392,0,0.0
20240,01630,0,0.0
20240,01740,0,0.0
20240,01830,0,0.0
20245,01120,1,1.0
20245,01230,0,0.0
20245,01360,0,0.0
20245,01758,0,0.0
20250,00620,1,1.0
20251,00630,1,1.0
20251,00600,0,0.0
